id,gender,birthday,Age,abonoment_type,visit_per_week,days_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,drink_abo,fav_drink,personal_training,name_personal_trainer,uses_sauna,check_in_hour,visit_time,age_group,visit_category,total_activities
1,Female,1997-04-18,27,Premium,4,"Mon, Sat, Tue, Wed",True,"Kickboxen, BodyPump, Zumba",19:31:00,21:27:00,116,False,No Drink,False,No Trainer,True,19,Evening,Adult,Very Frequent,1
2,Female,1977-09-18,47,Standard,3,"Mon, Sat, Wed",False,None,19:31:00,20:19:00,48,False,No Drink,True,Chantal,False,19,Evening,Senior,Frequent,1
3,Male,1983-03-30,41,Premium,1,Sat,True,XCore,08:29:00,10:32:00,123,True,"berry_boost, lemon",True,Mike,False,8,Morning,Middle Age,Light,3
4,Male,1980-04-12,44,Premium,3,"Sat, Tue, Wed",False,None,09:54:00,11:33:00,99,True,passion_fruit,True,Mike,True,9,Morning,Middle Age,Frequent,2
5,Male,1980-09-10,44,Standard,2,"Thu, Wed",True,"Running, Yoga, Zumba",08:29:00,09:19:00,50,False,No Drink,True,Mike,False,8,Morning,Middle Age,Regular,2
6,Female,2009-06-29,15,Standard,1,Mon,False,None,17:19:00,20:19:00,180,False,No Drink,False,No Trainer,True,17,Evening,Teen,Light,0
7,Male,1994-08-07,30,Premium,3,"Sat, Thu, Wed",True,"LesMiles, BodyPump",19:46:00,20:48:00,62,False,No Drink,False,No Trainer,False,19,Evening,Adult,Frequent,1
8,Male,2003-11-13,20,Standard,2,"Mon, Wed",True,"Yoga, XCore",17:45:00,19:20:00,95,True,coconut_pineapple,False,No Trainer,True,17,Evening,Young Adult,Regular,2
9,Male,1978-07-28,46,Premium,3,"Sat, Sun, Thu",True,BodyPump,09:45:00,11:17:00,92,True,"orange, lemon",True,Mike,False,9,Morning,Senior,Frequent,3
10,Female,2000-05-06,24,Premium,1,Mon,False,None,13:05:00,15:29:00,144,False,No Drink,True,Jeffrey,True,13,Afternoon,Young Adult,Light,1
11,Male,1983-07-11,41,Standard,1,Fri,False,None,13:50:00,14:26:00,36,False,No Drink,True,Hanna,False,13,Afternoon,Middle Age,Light,1
12,Male,1997-09-19,27,Premium,3,"Fri, Thu, Wed",True,"Pilates, Zumba, XCore",10:12:00,10:45:00,33,True,passion_fruit,True,Mike,True,10,Morning,Adult,Frequent,3
13,Female,1994-04-22,30,Standard,2,"Sun, Wed",True,"XCore, HIT, Running",17:04:00,19:42:00,158,True,passion_fruit,False,No Trainer,True,17,Evening,Adult,Regular,2
14,Female,1989-03-21,35,Premium,3,"Mon, Tue, Wed",False,None,19:50:00,20:51:00,61,True,black_currant,False,No Trainer,False,19,Evening,Adult,Frequent,1
15,Female,1989-10-01,35,Premium,1,Sat,False,None,20:12:00,22:37:00,145,True,"orange, black_currant",True,Mike,False,20,Evening,Adult,Light,2
16,Female,1987-12-20,36,Standard,4,"Mon, Thu, Tue, Wed",True,"Spinning, Zumba, XCore",17:28:00,18:29:00,61,False,No Drink,False,No Trainer,False,17,Evening,Middle Age,Very Frequent,1
17,Male,1986-12-17,37,Premium,3,"Fri, Sat, Sun",False,None,09:25:00,12:06:00,161,False,No Drink,True,Jeffrey,True,9,Morning,Middle Age,Frequent,1
18,Female,2011-04-30,13,Standard,3,"Sat, Thu, Tue",False,None,16:54:00,18:53:00,119,False,No Drink,True,Mike,True,16,Afternoon,Teen,Frequent,1
19,Female,1986-05-29,38,Standard,1,Tue,True,Pilates,10:01:00,12:48:00,167,True,orange,True,Hanna,True,10,Morning,Middle Age,Light,3
20,Male,1991-09-13,33,Premium,2,"Sat, Wed",True,"BodyPump, Zumba, Pilates",13:55:00,16:24:00,149,False,No Drink,False,No Trainer,False,13,Afternoon,Adult,Regular,1
21,Female,1997-12-31,26,Premium,2,"Fri, Mon",False,None,08:19:00,10:45:00,146,False,No Drink,True,Hanna,False,8,Morning,Adult,Regular,1
22,Male,1997-10-29,26,Premium,3,"Fri, Mon, Sat",True,"Yoga, BodyBalance, LesMiles",15:06:00,17:40:00,154,True,lemon,False,No Trainer,True,15,Afternoon,Adult,Frequent,2
23,Female,2010-10-22,13,Standard,2,"Mon, Tue",True,HIT,20:56:00,23:36:00,160,True,"passion_fruit, orange",True,Mike,False,20,Evening,Teen,Regular,3
24,Male,2010-01-24,14,Premium,3,"Sat, Tue, Wed",False,None,14:34:00,16:33:00,119,True,"lemon, coconut_pineapple",True,Jeffrey,True,14,Afternoon,Teen,Frequent,2
25,Female,2008-10-04,16,Premium,1,Fri,False,None,08:42:00,10:34:00,112,False,No Drink,False,No Trainer,False,8,Morning,Teen,Light,0
26,Male,1989-06-17,35,Standard,1,Fri,True,"BodyBalance, Zumba, Yoga",13:12:00,14:54:00,102,True,coconut_pineapple,True,Chantal,False,13,Afternoon,Adult,Light,3
27,Male,2005-03-31,19,Premium,3,"Fri, Sun, Wed",True,Zumba,15:01:00,16:59:00,118,True,"berry_boost, passion_fruit",False,No Trainer,False,15,Afternoon,Young Adult,Frequent,2
28,Male,1992-04-10,32,Standard,5,"Fri, Sat, Sun, Tue, Wed",True,"BodyBalance, Pilates, Running",19:41:00,21:35:00,114,True,berry_boost,True,Chantal,False,19,Evening,Adult,Very Frequent,3
29,Female,1997-01-21,27,Premium,1,Wed,False,None,11:25:00,12:56:00,91,True,orange,False,No Trainer,True,11,Morning,Adult,Light,1
